price_reduction_pct,additional_non_diabetes_qaly_multiplier,total_incremental_qaly,modeled_incremental_qaly,incremental_cost,nmb_50000,nmb_150000,cost_effective_at_50000,cost_effective_at_150000
15,2.9,0.1765193307644754,0.045261366862686,8417.557748114119,408.4087901096518,18060.34186655719,1,1
15,3.0,0.181045467450744,0.045261366862686,8417.557748114119,634.715624423081,18739.262369497483,1,1
15,3.1,0.1855716041370126,0.045261366862686,8417.557748114119,861.0224587365101,19418.18287243777,1,1
15,3.2,0.1900977408232812,0.045261366862686,8417.557748114119,1087.329293049941,20097.10337537806,1,1
15,3.3,0.19462387750954982,0.045261366862686,8417.557748114119,1313.636127363372,20776.023878318352,1,1
15,3.4,0.19915001419581843,0.045261366862686,8417.557748114119,1539.942961676803,21454.944381258647,1,1
15,3.5,0.20367615088208701,0.045261366862686,8417.557748114119,1766.249795990232,22133.864884198934,1,1
15,3.6,0.2082022875683556,0.045261366862686,8417.557748114119,1992.5566303036612,22812.78538713922,1,1
15,3.7,0.2127284242546242,0.045261366862686,8417.557748114119,2218.863464617092,23491.705890079513,1,1
15,3.8,0.21725456094089282,0.045261366862686,8417.557748114119,2445.1702989305213,24170.626393019804,1,1
15,3.9,0.22178069762716143,0.045261366862686,8417.557748114119,2671.4771332439523,24849.546895960095,1,1
15,4.0,0.22630683431343002,0.045261366862686,8417.557748114119,2897.7839675573814,25528.467398900382,1,1
20,0.0,0.045261366862686,0.045261366862686,7918.3421182409,-5655.2737751066,-1129.1370888379997,0,0
20,0.1,0.04978750354895461,0.045261366862686,7918.3421182409,-5428.96694079317,-450.2165858977087,0,0
20,0.2,0.054313640235223205,0.045261366862686,7918.3421182409,-5202.66010647974,228.70391704258054,0,1
20,0.3,0.0588397769214918,0.045261366862686,7918.3421182409,-4976.3532721663105,907.6244199828707,0,1
20,0.4,0.06336591360776041,0.045261366862686,7918.3421182409,-4750.0464378528795,1586.5449229231617,0,1
20,0.5,0.067892050294029,0.045261366862686,7918.3421182409,-4523.73960353945,2265.465425863451,0,1
20,0.6,0.0724181869802976,0.045261366862686,7918.3421182409,-4297.432769226019,2944.38592880374,0,1
20,0.7,0.0769443236665662,0.045261366862686,7918.3421182409,-4071.1259349125903,3623.3064317440294,0,1
20,0.8,0.08147046035283481,0.045261366862686,7918.3421182409,-3844.81910059916,4302.226934684322,0,1
20,0.9,0.08599659703910341,0.045261366862686,7918.3421182409,-3618.5122662857293,4981.1474376246115,0,1
20,1.0,0.090522733725372,0.045261366862686,7918.3421182409,-3392.2054319723,5660.067940564901,0,1
20,1.1,0.0950488704116406,0.045261366862686,7918.3421182409,-3165.89859765887,6338.98844350519,0,1
20,1.2,0.09957500709790922,0.045261366862686,7918.3421182409,-2939.591763345439,7017.908946445483,0,1
20,1.3,0.1041011437841778,0.045261366862686,7918.3421182409,-2713.28492903201,7696.82944938577,0,1
20,1.4,0.10862728047044641,0.045261366862686,7918.3421182409,-2486.97809471858,8375.749952326061,0,1
20,1.5,0.11315341715671501,0.045261366862686,7918.3421182409,-2260.67126040515,9054.67045526635,0,1
20,1.6,0.1176795538429836,0.045261366862686,7918.3421182409,-2034.36442609172,9733.590958206642,0,1
20,1.7,0.12220569052925222,0.045261366862686,7918.3421182409,-1808.057591778289,10412.511461146933,0,1
